,label,title,description,generated_description
28685,1,Milosevic trial postponed,The war crimes trial of Slobodan Milosevic is being put on hold for a month -- to give the former Yugoslav president #39;s court-assigned lawyers time to prepare a defense.,"The trial of former Yugoslav president Slobodan Milosevic has been postponed until next week, a court official said."
9809,4,Playboy Publishes More of the Google Interview on Playboy.com,"Playboy Publishes More of the Google Interview on Playboy.com\\Playboy magazine on Tuesday published previously unsyndicated interview excerpts to its Web site from its interview with Google's founders. The original interview was published just before the Internet search engine's much-anticipated initial public offering.\\In the never before seen excerpt on Playboy.com, Google ...","Playboy.com has published more of the interview with Google Inc. on its Playboy.com website. The video, which was aired on the Playboy.com website, is based on a Google search engine that allows users to search for information about Google Inc.'s search engine. Playboy.com is a playboy.com site that allows users to search for information about Google Inc.'s search engine. Playboy.com is a playboy.com site. Playboy.com is a playboy.com."
38363,1,NRIs hope for positive Mush-Manmohan meet,Indians living in the US are hoping for positive results after Pakistan President Pervez Musharraf meets Indian Prime Minister Dr.,The National Indian Congress (NRI) is hoping for a positive meeting between Prime Minister Manmohan Singh and Prime Minister Manmohan Singh.
75368,4,Professor Deconstructs  Dot-Com Bombs,"David A. Kirsch and a rotating staff of loyal students have created a digital database that lists more than 2,300 companies, archives that may someday prove useful in capturing the craziness of the Internet boom. &lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;","A professor at the University of California, Los Angeles has deconstructed a series of bombings that have killed more than a dozen people in the past year."
73453,3,Marsh #39;s New Chief Makes Compliance Unit; Shares Rise (Update7),Marsh  amp; McLennan Cos. Chief Executive Michael Cherkasky created a compliance unit and pledged to return money to clients as the world #39;s largest insurance broker moves to settle claims of kickbacks and rigged bids.,"NEW YORK (Reuters) - Marsh amp; McLennan Cos. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMC.N target=/stocks/quickinfo/fullquote""&gt;MMC.N&lt;/A&gt; said on Tuesday it has appointed its new chief executive to oversee compliance with the company #39;s financial reporting system and is expected to increase its stock price."
49883,1,Israel Kills Militant in 6th Day of Mass Gaza Raid (Reuters),Reuters - Israeli forces launched the sixth day of a\massive offensive in the Gaza Strip early on Tuesday with an\air strike that killed a Palestinian militant and wounded two\others in Jabalya refugee camp.,"Reuters - Israel killed a militant group in the Gaza Strip on the sixth day of a massattack on a Palestinian village, killing at least three Palestinians and wounding more than 100, the Israeli Defense Ministry said on Tuesday."
88554,1,Singh announces troop reduction in held Kashmir,"NEW DELHI: Indian Prime Minister Manmohan Singh announced on Thursday a troop reduction in Kashmir this winter, a move welcomed by Pakistan as a boost to peace efforts.","KABUL: Prime Minister Manmohan Singh on Monday announced a reduction in the number of troops in Kashmir, a move he said would help ease tensions between the two countries."
96965,1,American deaths,The Pentagon has identified the following US service members who were killed recently in Iraq:,"The death toll from a suicide bombing in Iraq has risen to 63, according to a report released by the United Nations."
115548,3,Zurich Financial gains on nursing home settlement,LONDON (CBS.MW) -- Zurich Financial (ZZ:001107539) gained 2.6 percent in Swiss trade after agreeing to settle US nursing home litigation by paying \$47.5 million.,"CHICAGO (Reuters) - Zurich Financial Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ZF.N target=/stocks/quickinfo/fullquote""&gt;ZF.N&lt;/A&gt; said on Thursday it had agreed to pay $1 billion to settle a dispute over the value of its nursing home insurance company."
70000,2,Big formula for farce,"AS the 2004 season headed into the final lap, farce and boredom were still vying for supremacy, but with the kind of audacious over-taking manoeuvre fans would love to witness on the track, farce darted into the lead to take the chequered flag.","SAN FRANCISCO (Reuters) - The United States has a formula for a farce that is based on quot;The Big Bang quot; and quot;The Big Bang quot;. It's a formula for a farce that is based on quot;The Big Bang quot; and quot;The Big Bang quot;, quot; a formula for a farce that is based on quot;The Big Bang quot; and quot;The Big Bang Theory quot;."
15595,1,Hollinger executives 'took \$400m',"Media group Hollinger International says senior executives, including former chief Conrad Black, took \$400m of its money.","NEW YORK (Reuters) - Hollinger Holdings Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HLL.N target=/stocks/quickinfo/fullquote""&gt;HLL.N&lt;/A&gt;, the world's largest maker of automobiles, said on Tuesday it had taken $400 million in cash from its chief executive officer's office in New York."
101129,4,"A Catastrophe Strikes, and the Cyberworld Responds",Much of the initial information about what had happened in Asia came from the Web.,"The cyberworld has responded to a series of disasters that have hit the United States and Europe. It is a reversal of the past, and it is a response to a new wave of cyberattacks that have hit the United States and Europe."
103045,2,Mets Reportedly to Make Pedro Martinez Contract Offer,"NEW YORK - Omar Minaya wants to make a splash this winter. And with trade talks about Sammy Sosa cooling off, the Mets #39; GM has turned his attention to free agent Pedro Martinez.","The New York Mets are expected to make an offer for Pedro Martinez, a source close to the deal said Monday."
1723,3,Army Withholding Halliburton Payments,Halliburton (HAL:NYSE - news - research) sank Tuesday after the Army chose not to extend a deadline for the company to explain its billing in Iraq. ,"Halliburton Corp., the world #39;s largest maker of home appliances, said it will not pay back any of its $1 billion ($1 billion) payments to the Army for the past two years."
11042,4,Big German banks hit by phishing attacks,"Two of Germany #39;s biggest banks became the latest victims of phishing attacks last week as internationally organized criminal groups roam the globe seeking new targets, according to a spokesman at Postbank.","The biggest German banks have been hit by phishing attacks on their websites, according to a report released yesterday."
15129,1,Heart Attacks More Likely in Cold Weather,"MUNICH, Germany - People with high blood pressure seem to be more vulnerable to heart attacks when the temperature drops, new research shows.    The findings, presented Monday at a conference of the European Society of Cardiology, are not surprising because cold weather makes the blood vessels constrict, making it harder for blood to move through, but the study is the first to document that variations in the weather increase the occurrence of heart attacks in people with high blood pressure...","A heart attack is more likely to occur in colder weather, according to a new study released by the American Heart Association."
59699,3,Oil rally sends stocks sharply lower,"Soaring oil prices trumped positive earnings news Wednesday, sending stocks skidding as investors rushed to take profits on new fears that the market is in the midst of a commodities bubble.","NEW YORK (Reuters) - U.S. stocks were sharply lower on Friday after a rally in oil prices sent stocks sharply lower, as investors reacted to a sluggish recovery in the U.S. economy."
84397,4,Flying taxis to hit cities  #39;within five years #39;,"The makers of a British designed  quot;Jetpod quot; taxi, which they hope to introduce to British cities within five years, insist they will definitely take you to your destination by the shortest route - at 350 mph.","&lt;strong&gt;&lt;/strong&gt; The government #39;s plan to introduce flying taxis to the United States and other European cities is expected to be implemented within five years, the government said on Tuesday."
